ModbusRTU;Meter;Carlo Gavazzi;EM24;;;;;;;
1;3;1;I32;;volt1;;0.1;0.0;V;4
2;3;3;I32;;volt2;;0.1;0.0;V;4
3;3;5;I32;;volt3;;0.1;0.0;V;4
4;3;13;I32;;current1;;0.001;0.0;A;4
5;3;15;I32;;current2;;0.001;0.0;A;4
6;3;17;I32;;current3;;0.001;0.0;A;4
7;3;19;I32;;power1;;0.1;0.0;W;4
8;3;21;I32;;power2;;0.1;0.0;W;4
9;3;23;I32;;power3;;0.1;0.0;W;4
10;3;25;I32;;apparent_power1;PLN[0];0.1;0.0;Va;4
11;3;27;I32;;apparent_power2;PLN[1];0.1;0.0;Va;4
12;3;29;I32;;apparent_power3;PLN[2];0.1;0.0;Va;4
13;3;31;I32;;reactive_power1;;0.1;0.0;Var;4
14;3;33;I32;;reactive_power2;;0.1;0.0;Var;4
15;3;35;I32;;reactive_power3;;0.1;0.0;Var;4
16;3;37;I32;;volt;;0.1;0.0;V;4
17;3;39;I32;;V l-l;;0.1;0.0;V;4
18;3;41;I32;;power;;0.1;0.0;W;4
19;3;43;I32;;apparent_power;P_SUM3;0.1;0.0;Va;4
20;3;45;I32;;reactive_power;;0.1;0.0;Var;4
21;3;47;I16;;Pf l1;;0.001;0.0;;4
22;3;48;I16;;Pf l2;;0.001;0.0;;4
23;3;49;I16;;Pf l3;;0.001;0.0;;4
24;3;50;I16;;Pf;;0.001;0.0;;4
25;3;51;I16;;Phase sequence;;0.001;0.0;;4
26;3;52;I16;;frequency;;1.0;0.0;Hz;4
27;3;53;I32_W;;energy_tot;;0.1;0.0;kWh;4
28;3;55;I32;;reactive_energy_tot;;10.0;0.0;kvarh;4
